"GEOID","Year","Median AQI","rate_notgood_aqi"
"01003",2018,37,0
"01027",2018,36,0
"01033",2018,37,0
"01049",2018,36,0
"01051",2018,33,0
"01055",2018,48,0.00308641975308642
"01069",2018,37,0
"01073",2018,56,0.010958904109589
"01079",2018,31,0
"01089",2018,49,0.00273972602739726
"01097",2018,44,0.00278551532033426
"01101",2018,57,0
"01103",2018,44,0
"01113",2018,48,0
"01117",2018,38,0.00413223140495868
"01119",2018,31,0
"01125",2018,42,0.003125
"02013",2018,13,0
"02020",2018,30,0
"02050",2018,19,0
"02068",2018,35,0
"02090",2018,40,0.106849315068493
"02110",2018,31,0
"02122",2018,10,0
"02170",2018,29,0.010958904109589
"04001",2018,13,0
"04003",2018,45,0
"04005",2018,45,0.00821917808219178
"04007",2018,47,0.063013698630137
"04012",2018,44,0.00824175824175824
"04013",2018,71,0.175342465753425
"04015",2018,18,0.00275482093663912
"04017",2018,44,0.00550964187327824
"04019",2018,52,0.0301369863013699
"04021",2018,67,0.13972602739726
"04023",2018,39,0.00547945205479452
"04025",2018,44,0.00273972602739726
"04027",2018,49,0.0438356164383562
"05001",2018,43,0
"05003",2018,39,0.00826446280991736
"05019",2018,31,0
"05031",2018,46,0
"05035",2018,47,0.00821917808219178
"05051",2018,42,0
"01071",2018,41,0
"05101",2018,36,0
"05113",2018,40,0
"05119",2018,52,0.00547945205479452
"05139",2018,49,0.00821917808219178
"01129",2018,48,0
"06001",2018,57,0.0465753424657534
"06005",2018,40,0.0164835164835165
"06007",2018,59,0.10958904109589
"06009",2018,58,0.0549450549450549
"06011",2018,46,0.0767123287671233
"06013",2018,55,0.0493150684931507
"06015",2018,33,0
"06017",2018,45,0.101369863013699
"06019",2018,75,0.268493150684932
"06021",2018,39,0.0440771349862259
"06023",2018,35,0.0164383561643836
"06025",2018,64,0.136986301369863
"06027",2018,49,0.101369863013699
"06029",2018,84,0.356164383561644
"06031",2018,70,0.158904109589041
"06033",2018,33,0.00840336134453781
"06037",2018,78,0.295890410958904
"06039",2018,58,0.0958904109589041
"06041",2018,43,0.0356164383561644
"06043",2018,53,0.10958904109589
"06045",2018,46,0.0576923076923077
"06047",2018,56,0.112328767123288
"06051",2018,27,0.0794520547945206
"06053",2018,42,0.0191780821917808
"06055",2018,46,0.032967032967033
"05099",2018,45,0.0771349862258953
"06059",2018,54,0.0493150684931507
"06061",2018,46,0.0684931506849315
"06063",2018,47,0.0285714285714286
"06065",2018,87,0.383561643835616
"06067",2018,58,0.0958904109589041
"06069",2018,42,0.0301369863013699
"06071",2018,89,0.421917808219178
"06073",2018,67,0.0958904109589041
"06075",2018,44,0.0383561643835616
"06077",2018,59,0.0904109589041096
"06079",2018,53,0.0246575342465753
"06081",2018,42,0.0356164383561644
"06083",2018,51,0.00547945205479452
"06085",2018,53,0.0465753424657534
"04023",2018,41,0.0273972602739726
"06089",2018,43,0.0575342465753425
"06093",2018,42,0.10958904109589
"06095",2018,50,0.0410958904109589
"06097",2018,39,0.0356164383561644
"06099",2018,59,0.128767123287671
"06101",2018,58,0.0958904109589041
"06103",2018,48,0.0794520547945206
"06105",2018,54,0.0652920962199313
"06107",2018,79,0.331506849315069
"06109",2018,43,0.0603448275862069
"06111",2018,57,0.0465753424657534
"06113",2018,45,0.0383561643835616
"08001",2018,54,0.00821917808219178
"08003",2018,19,0.00277777777777778
"08005",2018,46,0.0410958904109589
"08007",2018,38,0
"08013",2018,49,0.0801104972375691
"08015",2018,58,0.0365853658536585
"08019",2018,51,0.0962199312714777
"08029",2018,36,0
"08031",2018,54,0.0273972602739726
"08035",2018,49,0.0741758241758242
"08041",2018,47,0.0219178082191781
"08043",2018,15,0
"08045",2018,48,0.0438356164383562
"08049",2018,47,0.0120481927710843
"08051",2018,47,0.0136986301369863
"01071",2018,9,0
"01073",2018,46,0.101369863013699
"08067",2018,45,0.0547945205479452
"08069",2018,53,0.0767123287671233
"08077",2018,49,0.0136986301369863
"08081",2018,42,0.00302114803625378
"08083",2018,44,0.011142061281337
"08085",2018,42,0.00306748466257669
"08093",2018,51,0.0555555555555556
"08097",2018,15,0
"08099",2018,16,0.00278551532033426
"08101",2018,29,0.00813008130081301
"08103",2018,47,0.00547945205479452
"08107",2018,15,0
"08111",2018,10,0
"08113",2018,46,0.00840336134453781
"08119",2018,58,0.075
"08123",2018,54,0.0273972602739726
"09001",2018,46,0.0575342465753425
"09003",2018,42,0.00547945205479452
"09005",2018,36,0.0110192837465565
"09007",2018,40,0.0384615384615385
"09009",2018,44,0.0383561643835616
"09011",2018,39,0.019047619047619
"09013",2018,38,0.0187793427230047
"09015",2018,34,0.0167597765363128
NA,2018,76,0.256578947368421
NA,2018,38,0.00828729281767956
"10001",2018,42,0.00547945205479452
"10003",2018,48,0.0164383561643836
"10005",2018,42,0.010958904109589
"11001",2018,52,0.0164383561643836
"12001",2018,37,0
"12003",2018,31,0
"12005",2018,44,0.00309597523219814
"12009",2018,41,0.00273972602739726
"12011",2018,49,0
"12017",2018,43,0
"12021",2018,42,0
"05027",2018,41,0.00278551532033426
"12031",2018,51,0.0136986301369863
"01053",2018,38,0
"12035",2018,32,0
"12047",2018,43,0
"12055",2018,31,0.00284900284900285
"12057",2018,51,0.010958904109589
"12059",2018,43,0
"12061",2018,36,0.00280898876404494
"06033",2018,33,0.00275482093663912
"01081",2018,38,0.00273972602739726
"12073",2018,46,0
"12077",2018,31,0
"12081",2018,34,0.00547945205479452
"01093",2018,42,0
"12085",2018,42,0.00273972602739726
"12086",2018,49,0.010958904109589
"12089",2018,43,0
"12091",2018,33,0
"06059",2018,40,0.00547945205479452
"12097",2018,33,0.00547945205479452
"12099",2018,42,0
"12101",2018,35,0.00547945205479452
"12103",2018,46,0
"05113",2018,39,0.00547945205479452
"12107",2018,14,0
"12113",2018,43,0
"12115",2018,45,0
"12117",2018,39,0.00547945205479452
"12111",2018,33,0
"12127",2018,41,0
"12129",2018,41,0
"01007",2018,42,0.00276243093922652
"13049",2018,26,0
"13051",2018,44,0
"13055",2018,35,0
"01025",2018,46,0.00602409638554217
"13063",2018,44,0
"13067",2018,41,0
"01031",2018,29,0
"05027",2018,36,0
"13085",2018,35,0.00816326530612245
"01049",2018,49,0
"13095",2018,39,0.00280112044817927
"08035",2018,37,0
"13115",2018,52,0
"05049",2018,52,0.010958904109589
"13127",2018,35,0
"13135",2018,52,0
"13139",2018,41,0
"01067",2018,38,0.00847457627118644
"01069",2018,46,0.0062111801242236
"01085",2018,49,0
"13213",2018,37,0
"13215",2018,39,0
"01109",2018,33,0.00347222222222222
"13245",2018,47,0.010989010989011
"13247",2018,36,0.00823045267489712
"01119",2018,34,0
"01127",2018,47,0
"01129",2018,37,0
"15001",2018,55,0.0383561643835616
"15003",2018,31,0
"15007",2018,18,0
"15009",2018,25,0
"16001",2018,42,0.0191780821917808
"16005",2018,29,0.010958904109589
"16009",2018,53,0.03601108033241
"16013",2018,17,0.00826446280991736
"16015",2018,52,0.0164383561643836
"16017",2018,39,0.0440771349862259
"16019",2018,36,0.00852272727272727
"06007",2018,41,0.00826446280991736
"16027",2018,35,0.0136986301369863
"08027",2018,7,0.0222222222222222
"01059",2018,25,0.00940438871473354
"16049",2018,43,0.00547945205479452
"16053",2018,24,0.015625
"16055",2018,33,0.0302114803625378
